Weights for binary data: [4, 5, 9, 8, 1, 5, 3, 7, 2]


Removed Attribute  | Naive Bayes   | Decision Tree | Random Forest | NN (MLP)      | SVM           | k-NN (k = 7)  | k-NN (k = 9)  | k-NN (k = 11) | k-NN (k = 13) | Gain/Loss    
studytime          | 30.380 %      | 67.595 %      | 73.671 %      | 59.241 %      | 27.089 %      | 51.899 %      | 32.911 %      | 64.810 %      | 34.430 %      | -0.506 %     
school             | 32.405 %      | 67.848 %      | 74.684 %      | 56.709 %      | 33.671 %      | 50.633 %      | 32.658 %      | 63.544 %      | 33.165 %      | -2.532 %     
paid               | 31.899 %      | 66.835 %      | 73.671 %      | 61.013 %      | 31.899 %      | 53.165 %      | 33.165 %      | 61.013 %      | 33.924 %      | -1.772 %     
activities         | 31.392 %      | 67.595 %      | 73.671 %      | 61.013 %      | 30.886 %      | 51.899 %      | 30.127 %      | 62.785 %      | 32.152 %      | -2.025 %     
Walc               | 32.405 %      | 67.342 %      | 73.671 %      | 60.253 %      | 30.380 %      | 48.861 %      | 32.405 %      | 64.557 %      | 32.658 %      | -4.557 %     
Mjob               | 29.873 %      | 67.089 %      | 73.418 %      | 57.215 %      | 28.861 %      | 52.911 %      | 30.633 %      | 66.835 %      | 32.152 %      | -7.342 %     
reason             | 31.899 %      | 68.861 %      | 73.418 %      | 55.696 %      | 30.633 %      | 52.658 %      | 32.152 %      | 63.797 %      | 33.671 %      | -7.089 %     
nursery            | 32.911 %      | 67.089 %      | 75.443 %      | 54.684 %      | 31.392 %      | 50.886 %      | 31.646 %      | 64.810 %      | 32.911 %      | -8.101 %     
goout              | 29.873 %      | 67.342 %      | 74.684 %      | 57.722 %      | 30.127 %      | 51.646 %      | 30.886 %      | 65.063 %      | 30.886 %      | -10.633 %    
absences           | 32.911 %      | 68.861 %      | 74.684 %      | 57.722 %      | 31.139 %      | 51.392 %      | 31.392 %      | 60.506 %      | 32.911 %      | -10.886 %    
internet           | 27.848 %      | 66.835 %      | 73.924 %      | 58.228 %      | 29.873 %      | 54.177 %      | 29.367 %      | 65.316 %      | 27.595 %      | -24.051 %    
schoolsup          | 30.633 %      | 68.101 %      | 73.924 %      | 53.671 %      | 30.886 %      | 52.658 %      | 29.620 %      | 64.557 %      | 31.646 %      | -28.608 %    
freetime           | 30.886 %      | 67.342 %      | 73.924 %      | 56.456 %      | 29.620 %      | 51.392 %      | 31.646 %      | 62.532 %      | 33.165 %      | -33.418 %    
sex                | 32.152 %      | 67.848 %      | 73.671 %      | 57.722 %      | 30.380 %      | 50.633 %      | 31.646 %      | 61.266 %      | 31.392 %      | -35.443 %    
health             | 29.620 %      | 66.835 %      | 71.899 %      | 61.266 %      | 30.886 %      | 51.899 %      | 28.861 %      | 62.785 %      | 30.380 %      | -36.203 %    
famsup             | 31.899 %      | 67.595 %      | 74.430 %      | 56.203 %      | 29.873 %      | 51.392 %      | 30.380 %      | 62.025 %      | 29.620 %      | -39.241 %    
famrel             | 31.392 %      | 67.089 %      | 74.430 %      | 55.443 %      | 28.861 %      | 50.633 %      | 31.899 %      | 61.519 %      | 32.405 %      | -49.367 %    
romantic           | 31.392 %      | 67.342 %      | 73.671 %      | 53.165 %      | 31.646 %      | 51.139 %      | 32.658 %      | 60.506 %      | 32.911 %      | -64.557 %    
Pstatus            | 28.861 %      | 67.089 %      | 73.924 %      | 59.241 %      | 30.380 %      | 51.646 %      | 30.633 %      | 56.709 %      | 31.899 %      | -69.620 %    
G1                 | 30.380 %      | 62.532 %      | 73.165 %      | 54.430 %      | 29.620 %      | 47.342 %      | 27.848 %      | 63.038 %      | 29.873 %      | -123.291 %   
G2                 | 29.114 %      | 48.608 %      | 50.127 %      | 42.025 %      | 28.608 %      | 42.785 %      | 30.380 %      | 46.329 %      | 28.354 %      | -665.316 %   
